time_Y_m_d,shoreline
1999-03-31,57.734
1999-04-01,58.471
1999-04-01,59.273
1999-04-02,59.942
1999-04-03,58.088
1999-04-04,60.019
1999-04-04,60.166
1999-04-05,59.782
1999-04-05,59.42
1999-04-06,57.055
1999-04-07,57.36
1999-04-08,57.666
1999-04-09,57.972
1999-04-10,58.278
1999-04-10,58.584
1999-04-11,58.89
1999-04-12,59.373
1999-04-13,60.142
1999-04-14,60.91
1999-04-15,61.679
1999-04-15,61.548
1999-04-16,61.142
1999-04-16,61.353
1999-04-17,61.617
1999-04-17,62.105
1999-04-18,63.33
1999-04-19,65.664
1999-04-19,65.489
1999-04-20,61.318
1999-04-20,61.119
1999-04-21,61.116
1999-04-21,61.097
1999-04-22,61.024
1999-04-22,61.111
1999-04-23,61.285
1999-04-23,60.801
1999-04-24,58.318
1999-04-24,57.916
1999-04-25,56
1999-04-25,55.843
1999-04-26,54.978
1999-04-26,54.993
1999-04-27,55.408
1999-04-28,56.292
1999-04-28,56.747
1999-04-29,57.535
1999-04-29,57.136
1999-04-30,56.296
1999-04-30,55.707
1999-05-01,54.64
1999-05-01,55.908
1999-05-02,57.096
1999-05-03,57.547
1999-05-03,57.743
1999-05-04,60.944
1999-05-04,61.539
1999-05-04,63.352
1999-05-05,64.778
1999-05-06,65.113
1999-05-06,65.002
1999-05-07,64.091
1999-05-07,62.34
1999-05-08,60.952
1999-05-08,61.035
1999-05-09,62.107
1999-05-09,63.615
1999-05-10,64.751
1999-05-10,64.741
1999-05-11,64.548
1999-05-11,64.45
1999-05-12,64.045
1999-05-12,63.639
1999-05-13,63.005
1999-05-14,62.699
1999-05-15,62.227
1999-05-15,61.741
1999-05-16,61.256
1999-05-17,60.838
1999-05-18,61.788
1999-05-19,62.738
1999-05-19,62.82
1999-05-20,62.812
1999-05-20,63.007
1999-05-21,64.01
1999-05-21,64.745
1999-05-22,65.298
1999-05-22,64.803
1999-05-23,62.494
1999-05-24,62.673
1999-05-24,62.919
1999-05-24,63.011
1999-05-25,63.734
1999-05-26,64.623
1999-05-27,65.661
1999-05-28,65.637
1999-05-28,65.612
1999-05-29,65.581
1999-05-30,62.533
1999-05-30,61.835
1999-05-31,61.221
1999-05-31,60.773
1999-06-01,60.352
1999-06-02,60.212
1999-06-03,61.914
1999-06-03,62.265
1999-06-04,65.14
1999-06-04,65.099
1999-06-05,63.854
1999-06-05,63.551
1999-06-06,61.474
1999-06-06,61.996
1999-06-07,62.45
1999-06-07,62.547
1999-06-08,62.747
1999-06-08,62.873
1999-06-09,63.399
1999-06-09,63.924
1999-06-10,64.891
1999-06-11,65.55
1999-06-12,65.304
1999-06-12,64.018
1999-06-13,60.737
1999-06-13,60.605
1999-06-14,60.753
1999-06-14,61.849
1999-06-15,62.886
1999-06-16,63.546
1999-06-17,64.205
1999-06-18,64.864
1999-06-18,64.849
1999-06-19,64.543
1999-06-20,64.125
1999-06-20,63.706
1999-06-21,63.064
1999-06-21,62.515
1999-06-22,60.019
1999-06-23,59.905
1999-06-23,60.502
1999-06-24,61.669
1999-06-24,62.836
1999-06-25,64.253
1999-06-26,64.042
1999-06-26,63.831
1999-06-27,63.832
1999-06-28,64.111
1999-06-29,64.313
1999-06-29,65.213
1999-06-30,66.182
1999-06-30,67.168
1999-07-01,68.1
1999-07-01,68.416
1999-07-02,67.989
1999-07-03,60.734
1999-07-03,60.207
1999-07-04,58.208
1999-07-04,58.494
1999-07-05,60.65
1999-07-05,61.106
1999-07-06,64.066
1999-07-06,63.009
1999-07-07,62.407
1999-07-07,62.979
1999-07-08,65.39
1999-07-08,65.174
1999-07-09,63.693
1999-07-09,63.133
1999-07-10,60.758
1999-07-11,60.418
1999-07-11,61.11
1999-07-12,62.921
1999-07-12,64.733
1999-07-13,67.051
1999-07-13,66.346
1999-07-14,65.421
1999-07-14,65.196
1999-07-15,64.739
1999-07-15,61.611
1999-07-16,58.775
1999-07-17,56.375
1999-07-18,53.975
1999-07-18,54.242
1999-07-19,55.711
1999-07-19,56.104
1999-07-20,58.889
1999-07-20,59.131
1999-07-21,60.606
1999-07-21,60.548
1999-07-22,60.595
1999-07-22,60.892
1999-07-23,62.731
1999-07-23,62.769
1999-07-24,63.286
1999-07-24,63.802
1999-07-25,64.702
1999-07-26,64.91
1999-07-27,63.922
1999-07-28,62.935
1999-07-28,62.466
1999-07-29,62.537
1999-07-29,62.951
1999-07-30,63.236
1999-07-31,61.08
1999-08-01,62.569
1999-08-02,64.059
1999-08-02,63.747
1999-08-03,62.179
1999-08-03,60.841
1999-08-04,59.495
1999-08-04,59.653
1999-08-05,59.951
1999-08-05,60.282
1999-08-06,61.614
1999-08-06,61.406
1999-08-07,60.697
1999-08-08,61.255
1999-08-08,62.172
1999-08-09,63.628
1999-08-09,64.664
1999-08-10,65.422
1999-08-10,66.181
1999-08-11,65.607
1999-08-12,63.161
1999-08-12,64.663
1999-08-13,66.114
1999-08-13,66.983
1999-08-14,67.498
1999-08-15,64.903
1999-08-16,62.505
1999-08-16,62.318
1999-08-17,61.81
1999-08-17,62.259
1999-08-18,62.78
1999-08-18,63.215
1999-08-19,65.312
1999-08-19,65.363
1999-08-20,65.266
1999-08-20,64.847
1999-08-21,62.711
1999-08-21,62.994
1999-08-22,65.207
1999-08-22,65.571
1999-08-23,68.36
1999-08-24,70.507
1999-08-25,70.685
1999-08-25,70.862
1999-08-26,70.581
1999-08-27,69.387
1999-08-27,68.997
1999-08-28,68.368
1999-08-28,68.345
1999-08-29,68.38
1999-08-29,69.102
1999-08-30,69.578
1999-08-31,68.207
1999-08-31,68.274
1999-09-01,69.155
1999-09-01,69.366
1999-09-02,70.2
1999-09-02,70.174
1999-09-03,70.118
1999-09-03,70.325
1999-09-04,70.977
1999-09-04,70.793
1999-09-05,69.739
1999-09-05,69.435
1999-09-06,67.865
1999-09-07,66.706
1999-09-07,65.547
1999-09-08,64.657
1999-09-09,64.239
1999-09-09,64.991
1999-09-10,66.878
1999-09-10,66.443
1999-09-11,65.572
1999-09-11,65.617
1999-09-12,65.549
1999-09-12,64.189
1999-09-13,62.831
1999-09-14,60.568
1999-09-14,60.521
1999-09-15,60.942
1999-09-15,61.515
1999-09-16,65.526
1999-09-16,65.315
1999-09-17,64.319
1999-09-17,64.557
1999-09-18,65.797
1999-09-18,66.009
1999-09-19,66.915
1999-09-19,66.868
1999-09-20,66.295
1999-09-20,66.078
1999-09-21,65.562
1999-09-22,68.555
1999-09-23,69.245
1999-09-23,69.426
1999-09-24,68.952
1999-09-24,69.462
1999-09-25,70.766
1999-09-25,70.92
1999-09-26,71.098
1999-09-26,71.514
1999-09-27,71.904
1999-09-27,72
1999-09-28,72.104
1999-09-29,72.336
1999-09-29,72.417
1999-09-30,72.662
1999-09-30,72.687
1999-10-01,71.983
1999-10-01,71.863
1999-10-02,71.265
1999-10-02,71.263
1999-10-03,71.168
1999-10-03,70.997
1999-10-04,70.288
1999-10-04,70.371
1999-10-05,70.696
1999-10-05,70.669
1999-10-06,70.316
1999-10-06,70.121
1999-10-07,68.081
1999-10-08,64.584
1999-10-08,62.641
1999-10-09,59.199
1999-10-09,61.091
1999-10-10,65.306
1999-10-11,68.465
1999-10-11,68.749
1999-10-12,65.234
1999-10-12,65.187
1999-10-13,68.395
1999-10-14,68.866
1999-10-14,68.684
1999-10-15,67.254
1999-10-15,67.437
1999-10-16,68.352
1999-10-16,68.369
1999-10-17,68.474
1999-10-17,68.557
1999-10-18,69.03
1999-10-19,69.362
1999-10-19,69.282
1999-10-19,69.255
1999-10-20,68.806
1999-10-20,68.807
1999-10-21,68.812
1999-10-21,68.817
1999-10-22,68.826
1999-10-23,68.835
1999-10-24,68.845
1999-10-25,68.854
1999-10-26,68.937
1999-10-26,69.459
1999-10-27,70.429
1999-10-27,70.226
1999-10-27,68.731
1999-10-28,65.956
1999-10-28,65.524
1999-10-29,65.469
1999-10-29,65.475
1999-10-30,65.532
1999-10-30,65.561
1999-10-31,65.706
1999-11-01,65.851
1999-11-02,65.996
1999-11-02,66.141
1999-11-03,65.41
1999-11-04,64.132
1999-11-04,62.854
1999-11-05,61.628
1999-11-05,62.356
1999-11-06,63.719
1999-11-06,64.009
1999-11-07,64.211
1999-11-08,64.413
1999-11-08,63.284
1999-11-09,60.816
1999-11-09,62.017
1999-11-10,63.619
1999-11-10,64.004
1999-11-11,63.659
1999-11-12,63.315
1999-11-12,63.488
1999-11-13,65.075
1999-11-14,66.661
1999-11-15,68.208
1999-11-16,68.604
1999-11-16,68.967
1999-11-17,69.198
1999-11-17,68.841
1999-11-18,67.724
1999-11-18,66.608
1999-11-19,65.063
1999-11-19,65.035
1999-11-20,65.359
1999-11-21,66.74
1999-11-21,67.166
1999-11-22,67.734
1999-11-22,67.714
1999-11-23,67.469
1999-11-23,67.392
1999-11-24,67.28
1999-11-24,67.168
1999-11-25,67.057
1999-11-25,66.945
1999-11-26,66.837
1999-11-26,67.034
1999-11-27,69.27
1999-11-27,68.676
1999-11-28,65.272
1999-11-28,63.19
1999-11-29,64.35
1999-11-29,65.484
1999-11-30,69.744
1999-11-30,69.516
1999-12-01,68.882
1999-12-01,69.355
1999-12-02,70.978
1999-12-03,71.047
1999-12-03,71.116
1999-12-04,71.071
1999-12-05,70.769
1999-12-05,70.451
1999-12-06,70.023
1999-12-07,68.817
1999-12-07,68.607
1999-12-08,69.571
1999-12-08,69.473
1999-12-09,69.32
1999-12-09,69.167
1999-12-10,69.013
1999-12-11,69.691
1999-12-12,70.369
1999-12-13,71.047
1999-12-14,71.724
1999-12-14,71.721
1999-12-15,71.753
1999-12-15,71.955
1999-12-16,72.869
1999-12-16,72.639
1999-12-17,71.796
1999-12-17,71.759
1999-12-18,71.417
1999-12-18,71.181
1999-12-19,69.516
1999-12-19,68.858
1999-12-20,66.72
1999-12-20,66.576
1999-12-20,66.856
1999-12-21,67.765
1999-12-21,68.89
1999-12-22,70.062
1999-12-22,70.722
1999-12-23,72.097
1999-12-23,71.775
1999-12-24,71.075
1999-12-24,70.636
1999-12-25,69.978
1999-12-25,69.85
1999-12-26,70.212
1999-12-26,70.112
1999-12-27,69.204
1999-12-27,69.245
1999-12-28,69.677
1999-12-28,69.194
1999-12-29,67.426
1999-12-29,67.689
1999-12-30,68.804
1999-12-30,68.527
1999-12-31,67.375
1999-12-31,67.501
2000-01-01,68.259
2000-01-01,68.29
2000-01-02,69.409
2000-01-03,70.406
2000-01-03,71.298
2000-01-04,73.286
2000-01-05,73.294
2000-01-05,72.778
2000-01-06,71.598
2000-01-06,71.867
2000-01-07,72.554
2000-01-07,72.857
2000-01-08,73.4
2000-01-08,73.709
2000-01-09,74.365
2000-01-10,75.134
2000-01-10,74.876
2000-01-11,71.364
2000-01-11,71.222
2000-01-12,71.395
2000-01-12,70.906
2000-01-13,68.765
2000-01-14,70.447
2000-01-14,70.223
2000-01-15,69.134
2000-01-15,69.084
2000-01-16,68.794
2000-01-17,68.54
2000-01-17,68.524
2000-01-18,68.433
2000-01-19,69.696
2000-01-20,73.465
2000-01-20,73.911
2000-01-21,74.582
2000-01-21,74.469
2000-01-22,74.219
2000-01-22,74.393
2000-01-23,74.716
2000-01-23,74.301
2000-01-23,72.588
2000-01-24,69.406
2000-01-24,68.968
2000-01-25,69.311
2000-01-26,72.747
2000-01-26,72.463
2000-01-27,70.299
2000-01-27,70.495
2000-01-28,71.214
2000-01-28,71.092
2000-01-29,70.89
2000-01-30,71.796
2000-01-31,73.067
2000-02-01,74.701
2000-02-01,75.895
2000-02-01,76.023
2000-02-02,76.439
2000-02-02,76.305
2000-02-03,75.722
2000-02-03,75.919
2000-02-04,76.574
2000-02-04,76.553
2000-02-05,76.43
2000-02-05,76.686
2000-02-06,77.196
2000-02-06,77.155
2000-02-06,76.825
2000-02-07,76.25
2000-02-08,77.168
2000-02-08,77.368
2000-02-09,78.501
2000-02-09,78.435
2000-02-10,77.235
2000-02-10,77.087
2000-02-11,76.721
2000-02-11,76.719
2000-02-12,77.954
2000-02-12,77.7
2000-02-13,76.684
2000-02-13,76.418
2000-02-14,75.315
2000-02-14,75.024
2000-02-15,73.662
2000-02-15,73.592
2000-02-16,73.277
2000-02-16,73.262
2000-02-17,72.842
2000-02-18,71.617
2000-02-18,71.713
2000-02-19,72.394
2000-02-19,73.685
2000-02-20,75.045
2000-02-20,75.135
2000-02-21,75.371
2000-02-21,75.815
2000-02-22,76.409
2000-02-23,74.029
2000-02-23,73.961
2000-02-24,75.096
2000-02-24,74.777
2000-02-25,72.899
2000-02-25,73.196
2000-02-26,74.124
2000-02-26,74.918
2000-02-27,75.905
2000-02-27,76.028
2000-02-28,76.764
2000-02-28,76.723
2000-02-29,76.497
2000-02-29,76.272
2000-03-01,75.653
2000-03-02,74.777
2000-03-02,73.902
2000-03-03,72.614
2000-03-04,72.166
2000-03-04,72.502
2000-03-05,73.398
2000-03-05,73.868
2000-03-06,74.695
2000-03-06,75.302
2000-03-07,76.367
2000-03-08,72.891
2000-03-09,72.386
2000-03-09,72.344
2000-03-10,72.405
2000-03-10,72.78
2000-03-11,74.332
2000-03-11,75.203
2000-03-12,74.278
2000-03-12,73.884
2000-03-13,71.936
2000-03-13,72.027
2000-03-14,72.591
2000-03-14,72.858
2000-03-15,74.391
2000-03-15,74.833
2000-03-16,76.371
2000-03-16,76.031
2000-03-17,74.201
2000-03-18,72.609
2000-03-18,73.054
2000-03-19,73.807
2000-03-19,74.669
2000-03-20,76.616
2000-03-20,76.334
2000-03-21,75.812
2000-03-21,76.356
2000-03-22,76.405
2000-03-23,72.334
2000-03-23,71.811
2000-03-24,70.59
2000-03-24,70.547
2000-03-25,70.646
2000-03-25,70.589
2000-03-26,70.279
2000-03-26,70.375
2000-03-27,70.865
2000-03-27,70.885
2000-03-28,71.051
2000-03-28,71.157
2000-03-29,71.88
2000-03-30,72.089
2000-03-30,72.536
2000-03-30,72.689
2000-03-31,73.874
2000-03-31,73.798
2000-04-01,73.43
2000-04-01,73.523
2000-04-02,74.17
2000-04-02,73.832
2000-04-03,72.911
2000-04-03,72.493
2000-04-04,71.819
2000-04-04,72.466
2000-04-05,73.178
2000-04-06,71.285
2000-04-07,69.391
2000-04-08,67.498
2000-04-09,65.762
2000-04-10,65.115
2000-04-10,65.718
2000-04-11,68.79
2000-04-11,69.034
2000-04-12,70.269
2000-04-12,70.423
2000-04-13,71.217
2000-04-13,71.347
2000-04-14,71.887
2000-04-15,71.842
2000-04-15,71.807
2000-04-16,71.787
2000-04-16,71.81
2000-04-17,71.903
2000-04-17,71.133
2000-04-18,69.359
2000-04-18,68.907
2000-04-19,68.226
2000-04-19,69.174
2000-04-20,70.052
2000-04-21,70.154
2000-04-21,70.257
2000-04-22,70.479
2000-04-22,71.304
2000-04-23,72.035
2000-04-24,72.757
2000-04-24,72.8
2000-04-25,73.148
2000-04-25,73.3
2000-04-26,74.491
2000-04-27,75.514
2000-04-28,75.452
2000-04-28,75.333
2000-04-28,75.294
2000-04-29,74.973
2000-04-30,74.652
2000-04-30,74.422
2000-05-01,74.293
2000-05-02,74.294
2000-05-02,74.294
2000-05-03,74.295
2000-05-03,74.385
2000-05-04,74.604
2000-05-04,73.128
2000-05-05,70.176
2000-05-05,71.119
2000-05-06,71.94
2000-05-06,71.356
2000-05-07,70.744
2000-05-08,69.466
2000-05-08,69.517
2000-05-09,70.298
2000-05-09,70.304
2000-05-10,70.406
2000-05-10,70.698
2000-05-11,71.609
2000-05-11,70.578
2000-05-12,66.432
2000-05-12,66.494
2000-05-13,67.952
2000-05-14,69.411
2000-05-15,70.978
2000-05-16,71.975
2000-05-16,72.973
2000-05-17,74.249
2000-05-17,74.708
2000-05-18,75.12
2000-05-19,73.264
2000-05-19,73.657
2000-05-20,73.989
2000-05-21,73.282
2000-05-21,73.27
2000-05-22,73.011
2000-05-22,73.226
2000-05-23,75.606
2000-05-23,75.49
2000-05-24,75.24
2000-05-24,75.085
2000-05-25,73.936
2000-05-25,73.74
2000-05-26,72.41
2000-05-26,72.265
2000-05-27,72.106
2000-05-27,72.074
2000-05-28,71.468
2000-05-29,70.532
2000-05-29,69.847
2000-05-29,69.797
2000-05-30,68.966
2000-05-31,67.946
2000-05-31,67.319
2000-06-01,67.117
2000-06-01,66.916
2000-06-02,66.658
2000-06-02,67.21
2000-06-03,68.591
2000-06-03,67.721
2000-06-04,67.128
2000-06-04,69.72
2000-06-05,72.112
2000-06-05,73.453
2000-06-06,74.366
2000-06-07,73.653
2000-06-07,73.605
2000-06-08,73.546
2000-06-08,73.974
2000-06-09,76.023
2000-06-09,75.659
2000-06-10,73.968
2000-06-10,74.004
2000-06-11,74.322
2000-06-11,74.394
2000-06-12,74.778
2000-06-13,74.69
2000-06-13,74.601
2000-06-14,74.845
2000-06-15,75.468
2000-06-15,76.091
2000-06-16,76.889
2000-06-17,76.991
2000-06-17,77.048
2000-06-18,77.104
2000-06-18,77.483
2000-06-19,77.812
2000-06-19,77.564
2000-06-20,77.256
2000-06-21,75.961
2000-06-22,73.953
2000-06-22,73.619
2000-06-23,71.255
2000-06-23,71.216
2000-06-24,70.844
2000-06-24,70.889
2000-06-25,71.242
2000-06-25,71.096
2000-06-26,69.97
2000-06-26,69.765
2000-06-27,67.9
2000-06-27,67.426
2000-06-28,64.732
2000-06-29,64.707
2000-06-29,64.682
2000-06-30,64.84
2000-07-01,65.332
2000-07-01,64.017
2000-07-02,60.756
2000-07-03,59.312
2000-07-04,57.869
2000-07-04,56.425
2000-07-05,54.981
2000-07-06,53.538
2000-07-07,52.094
2000-07-08,52.672
2000-07-08,53.251
2000-07-09,53.974
2000-07-09,55.312
2000-07-10,56.453
2000-07-11,56.967
2000-07-11,57.042
2000-07-12,56.185
2000-07-12,55.485
2000-07-13,55.021
2000-07-13,54.699
2000-07-14,54.528
2000-07-14,54.358
2000-07-15,53.016
2000-07-16,50.478
2000-07-17,50.262
2000-07-17,50.202
2000-07-18,50.141
2000-07-19,50.081
2000-07-20,50.02
2000-07-20,50.045
2000-07-21,50.348
2000-07-22,50.235
2000-07-22,50.747
2000-07-23,52.88
2000-07-23,54.455
2000-07-24,55.35
2000-07-24,55.763
2000-07-25,58.419
2000-07-25,58.496
2000-07-26,58.92
2000-07-27,59.235
2000-07-27,59.125
2000-07-28,58.11
2000-07-28,57.675
2000-07-29,58.109
2000-07-29,58.367
2000-07-30,58.434
2000-07-30,58.502
2000-07-31,58.588
2000-07-31,59.433
2000-08-01,60.346
2000-08-01,60.576
2000-08-02,60.939
2000-08-02,59.73
2000-08-03,58.622
2000-08-04,57.646
2000-08-04,57.578
2000-08-05,57.409
2000-08-06,57.241
2000-08-07,57.128
2000-08-07,57.19
2000-08-08,57.871
2000-08-08,58.161
2000-08-09,60.107
2000-08-09,60.259
2000-08-10,60.895
2000-08-10,60.759
2000-08-11,60.511
2000-08-12,61.706
2000-08-12,62.575
2000-08-13,63.092
2000-08-13,63.609
2000-08-14,64.127
2000-08-14,64.644
2000-08-15,65.265
2000-08-15,65.077
2000-08-16,64.618
2000-08-16,63.154
2000-08-17,61.599
2000-08-18,56.8
2000-08-19,52.001
2000-08-19,52.052
2000-08-19,53.678
2000-08-20,55.337
2000-08-21,57.1
2000-08-21,58.215
2000-08-22,57.798
2000-08-22,57.8
2000-08-23,57.955
2000-08-23,58.175
2000-08-24,59.542
2000-08-24,59.519
2000-08-25,59.238
2000-08-25,59.093
2000-08-26,58.195
2000-08-27,57.204
2000-08-27,56.678
2000-08-28,56.849
2000-08-28,57.079
2000-08-29,57.478
2000-08-29,56.41
2000-08-30,53.76
2000-08-30,53.134
2000-08-31,52.721
2000-08-31,54.765
2000-09-01,56.56
2000-09-02,57.336
2000-09-02,57.648
2000-09-03,59.209
2000-09-03,59.196
2000-09-04,58.496
2000-09-05,57.927
2000-09-05,58.331
2000-09-06,60.158
2000-09-06,59.971
2000-09-07,59.069
2000-09-07,59.006
2000-09-08,58.742
2000-09-08,58.478
2000-09-09,58.102
2000-09-10,58.062
2000-09-10,58.669
2000-09-11,60.524
2000-09-12,60.45
2000-09-12,60.326
2000-09-13,60.12
2000-09-13,59.915
2000-09-14,59.652
2000-09-14,59.972
2000-09-15,60.61
2000-09-15,61.318
2000-09-16,61.962
2000-09-17,61.811
2000-09-17,61.892
2000-09-18,62.894
2000-09-18,63.179
2000-09-19,64.837
2000-09-19,65.042
2000-09-20,66.066
2000-09-20,65.737
2000-09-21,63.953
2000-09-21,62.246
2000-09-22,60.751
2000-09-22,60.376
2000-09-23,60.041
2000-09-23,59.974
2000-09-24,59.776
2000-09-25,60.052
2000-09-25,61.312
2000-09-26,65.037
2000-09-26,65.947
2000-09-27,67.283
2000-09-27,67.13
2000-09-28,66.569
2000-09-28,67.007
2000-09-29,67.301
2000-09-29,66.433
2000-09-30,64.763
2000-10-01,63.88
2000-10-01,63.642
2000-10-02,62.029
2000-10-02,61.767
2000-10-03,60.466
2000-10-03,60.893
2000-10-04,63.028
2000-10-04,63.647
2000-10-05,65.582
2000-10-05,67.156
2000-10-06,68.473
2000-10-06,67.964
2000-10-07,65.86
2000-10-07,66.108
2000-10-08,67.084
2000-10-09,66.839
2000-10-09,66.64
2000-10-09,66.61
2000-10-10,66.326
2000-10-11,66.028
2000-10-11,66.147
2000-10-12,66.623
2000-10-12,67.156
2000-10-13,68.239
2000-10-14,67.891
2000-10-14,67.448
2000-10-15,67.039
2000-10-15,67.099
2000-10-16,67.379
2000-10-16,68.424
2000-10-17,69.113
2000-10-18,68.036
2000-10-19,65.664
2000-10-19,65.707
2000-10-20,65.889
2000-10-20,65.757
2000-10-21,64.952
2000-10-21,64.6
2000-10-22,62.982
2000-10-22,62.935
2000-10-23,62.477
2000-10-24,61.667
2000-10-24,60.959
2000-10-24,60.781
2000-10-25,60.247
2000-10-25,60.422
2000-10-26,61.478
2000-10-27,62.533
2000-10-27,63.22
2000-10-28,64.763
2000-10-28,64.719
2000-10-29,64.501
2000-10-29,63.455
2000-10-30,61.755
2000-10-30,61.866
2000-10-30,64.193
2000-10-31,65.989
2000-11-01,66.171
2000-11-01,65.744
2000-11-02,62.693
2000-11-02,61.961
2000-11-03,58.262
2000-11-03,58.107
2000-11-04,57.235
2000-11-05,56.509
2000-11-05,56.648
2000-11-06,57.724
2000-11-06,58.325
2000-11-07,60.166
2000-11-07,59.452
2000-11-08,56.595
2000-11-09,56.591
2000-11-09,56.709
2000-11-10,57.025
2000-11-10,57.077
2000-11-11,57.109
2000-11-11,57.524
2000-11-12,57.973
2000-11-12,57.732
2000-11-13,57.571
2000-11-14,58.765
2000-11-14,58.86
2000-11-15,58.016
2000-11-15,58.128
2000-11-15,59.356
2000-11-16,60.594
2000-11-17,61.865
2000-11-17,62.902
2000-11-18,63.763
2000-11-18,63.741
2000-11-19,63.712
2000-11-19,64.349
2000-11-20,64.701
2000-11-20,64.244
2000-11-21,62.142
2000-11-22,61.257
2000-11-22,61.865
2000-11-23,63.983
2000-11-24,63.58
2000-11-24,63.283
2000-11-25,62.959
2000-11-26,62.635
2000-11-27,62.31
2000-11-27,62.183
2000-11-28,62.002
2000-11-28,62.46
2000-11-29,63.662
2000-11-30,65.013
2000-12-01,66.344
2000-12-01,66.887
2000-12-02,65.075
2000-12-02,64.955
2000-12-03,64.348
2000-12-03,64.323
2000-12-04,64.05
2000-12-05,62.467
2000-12-05,62.601
2000-12-06,62.91
2000-12-06,62.521
2000-12-07,60.75
2000-12-08,60.146
2000-12-09,59.541
2000-12-09,59.585
2000-12-10,59.937
2000-12-10,59.759
2000-12-11,59.132
2000-12-11,59.171
2000-12-12,59.355
2000-12-12,60.198
2000-12-13,61.848
2000-12-14,61.079
2000-12-14,60.952
2000-12-15,60.825
2000-12-15,60.722
2000-12-16,60.117
2000-12-16,60.301
2000-12-17,61.376
2000-12-17,61.514
2000-12-18,62.024
2000-12-18,61.937
2000-12-19,61.532
2000-12-20,61.126
2000-12-21,61.022
2000-12-21,61.254
2000-12-22,62.006
2000-12-22,62.733
2000-12-23,64.115
2000-12-23,64.618
2000-12-24,64.168
2000-12-24,63.717
2000-12-25,63.141
2000-12-25,63.371
2000-12-26,63.661
2000-12-26,64.378
2000-12-27,65.078
2000-12-27,65.571
2000-12-28,65.723
2000-12-29,62.935
2000-12-30,64.077
2000-12-31,65.173
2000-12-31,65.388
2001-01-01,66.41
2001-01-01,66.41
2001-01-02,67.239
2001-01-02,67.147
2001-01-03,66.653
2001-01-03,66.541
2001-01-04,66.372
2001-01-04,66.71
2001-01-05,68.792
2001-01-05,68.868
2001-01-06,68.84
2001-01-07,67.742
2001-01-07,67.139
2001-01-08,67.33
2001-01-08,67.062
2001-01-09,66.456
2001-01-09,65.851
2001-01-10,65.028
2001-01-10,62.863
2001-01-11,60.914
2001-01-12,61.775
2001-01-12,61.898
2001-01-13,61.841
2001-01-13,62.387
2001-01-14,64.685
2001-01-14,65.526
2001-01-15,61.914
2001-01-15,62.823
2001-01-16,66.279
2001-01-16,66.284
2001-01-17,66.191
2001-01-17,65.96
