date,soi
1982 Feb,0.301
1982 Mar,-0.005
1982 Apr,-0.093
1982 May,-0.224
1982 Jun,-0.213
1982 Jul,-0.311
1982 Aug,-0.235
1982 Sep,-0.322
1982 Oct,0.322
1982 Nov,0.093
1982 Dec,0.115
1983 Jan,0.77
1983 Feb,0.607
1983 Mar,-0.158
1983 Apr,-0.235
1983 May,-0.202
1983 Jun,-0.333
1983 Jul,-0.158
1983 Aug,-0.224
1983 Sep,-0.355
1983 Oct,0.005
1983 Nov,0.454
1983 Dec,0.41
1984 Jan,0.519
1984 Feb,0.541
1984 Mar,0.301
1984 Apr,-0.574
1984 May,-0.344
1984 Jun,-0.279
1984 Jul,-0.716
1984 Aug,-0.869
1984 Sep,-0.596
1984 Oct,-0.29
1984 Nov,-0.454
1984 Dec,-0.246
1985 Jan,-0.607
1985 Feb,-0.563
1985 Mar,-0.235
1985 Apr,-0.246
1985 May,-0.399
1985 Jun,-0.333
1985 Jul,-0.53
1985 Aug,-0.049
1985 Sep,0.158
1985 Oct,0.115
1985 Nov,0.322
1985 Dec,0.115
1986 Jan,0.049
1986 Feb,0.454
1986 Mar,0.158
1986 Apr,-0.421
1986 May,-0.268
1986 Jun,-0.311
1986 Jul,-0.115
1986 Aug,-0.322
1986 Sep,-0.322
1986 Oct,0.126
1986 Nov,0.333
1986 Dec,0.519
1987 Jan,0.399
1987 Feb,0.519
1987 Mar,0.432
1987 Apr,0.355
1987 May,-0.126
1987 Jun,-0.5080001
1987 Jul,-0.388
1987 Aug,0.388
1987 Sep,0.071
